,ADM,BAX,AT,RX,PAYX,WM,BLL,OKE,MU,DJ,NYT,GDW,CCL,KR,PD,OXY,CPWR,AFL,EDS,MDT,AA,JWN,UTX,IBM,CD,ETN,EIX,NEM,MTG,WMI
ADM,0.0003275959929681313,7.150555008178259e-05,5.820865546386732e-05,7.03122766665221e-05,0.00010418945662609577,6.613501209597196e-05,6.986840951294264e-05,5.654494749153127e-05,3.914699752375524e-05,5.619578931293663e-05,4.6680441826001526e-05,6.765615345052211e-05,9.154445999374836e-05,7.531114428460591e-05,7.822656984319386e-05,4.752979624357299e-05,0.00010398985886863383,9.007842598301317e-05,8.635686449692924e-05,6.14690073425053e-05,0.00010104538673221939,9.247985293593912e-05,9.155759352825369e-05,5.892135587461108e-05,6.867806924150546e-05,7.03703082469116e-05,9.19567103774786e-05,-1.2827590553208463e-05,9.694743605159893e-05,7.791564384803328e-05
BAX,7.150555008178259e-05,0.0004716140819490624,5.974705740906723e-05,8.091033120983839e-05,0.0001321435742681838,8.106483616418583e-05,6.477321614777809e-05,7.617960453045384e-05,2.7776473952536874e-05,5.533270467376879e-05,4.665840020967184e-05,7.487596886322876e-05,8.212352425267526e-05,9.647423237234519e-05,8.709750802107105e-05,6.351470351908771e-05,0.00010310564005012352,9.179462871612637e-05,0.00010229579414774508,0.0001271230397620307,0.0001061360423785173,6.894389579448909e-05,8.51847737102941e-05,4.972992567590628e-05,8.958096351094852e-05,8.009517462366023e-05,0.00012172131710442991,-3.09170512559442e-06,9.071045939551099e-05,7.216833615436535e-05
AT,5.820865546386732e-05,5.974705740906723e-05,0.0003515380128290239,8.04089698448074e-05,0.00014109879337168888,5.961957359548307e-05,8.880633998114818e-05,8.745986395977214e-05,0.00016070175235374836,9.941829947920365e-05,9.389869894627533e-05,7.446305743269996e-05,0.00013141301612053265,7.46312287103942e-05,0.00011513639390993973,4.558094111493064e-05,0.00020476504278692584,0.00010052844140809349,0.0001423654801609926,7.054866665837433e-05,0.00013822219767160678,0.00011638304542120048,0.00011667290313776782,0.00012329384666912843,0.00013705557814016153,9.993701401706689e-05,9.150209570988204e-05,-4.9418578776344864e-05,9.035951779781329e-05,9.367007725436008e-05
RX,7.03122766665221e-05,8.091033120983839e-05,8.04089698448074e-05,0.0005424985348785625,0.00014778447333457182,8.485109953116145e-05,7.614932733906939e-05,9.472879405464465e-05,0.00012973563943444137,0.00010187385269426857,6.756628828473538e-05,8.227818054854636e-05,8.741489414542601e-05,0.00010099663489927555,0.00012162358509346106,6.305766453488231e-05,0.0001952779323640103,8.219076646613439e-05,0.00014436637858590852,0.00010206390770784303,0.0001449796504948371,0.00012585907655756593,0.0001262539438715571,0.0001010029051491846,0.00010428796963688729,9.394790451994664e-05,7.336419766211396e-05,-2.1361887996342996e-05,0.00011341373814665215,6.030477195158262e-05
PAYX,0.00010418945662609577,0.0001321435742681838,0.00014109879337168888,0.00014778447333457182,0.0007335577610804376,0.00011204777510969661,0.00013054574373412103,0.00011614314165381719,0.0003550944797022668,0.0001309539781529218,0.0001224196967698092,0.00012040806399759748,0.0001735162346941301,0.00010991358991196622,0.00017436805052775713,7.569578110397362e-05,0.00032784068287488937,0.00014004189126472824,0.00018753389489625254,0.00012335630821903938,0.00018579639471998953,0.00019320803817550082,0.00018672163343688665,0.00020156808263173056,0.0002168896969788229,0.00017775414235543212,7.729403066830372e-05,-7.819715972163377e-05,0.0001713260753186066,0.00014350142303464378
WM,6.613501209597196e-05,8.106483616418583e-05,5.961957359548307e-05,8.485109953116145e-05,0.00011204777510969661,0.0003942663127186723,9.302272414355314e-05,8.292619448678178e-05,6.51971722012624e-05,8.058070547524742e-05,7.85214961635747e-05,0.00024993340546833185,9.677152730922418e-05,0.0001053521869804801,0.00010701039581525608,3.9925463699734895e-05,0.00010399119710979858,0.00013837545087814614,0.0001147197501409937,7.315832167072235e-05,0.00011803654891623245,0.00013850833069445947,0.00012691889772486787,8.861524098261072e-05,0.00012308050760619446,0.00010738637785872679,7.902553837055174e-05,-2.143074701143977e-05,0.00016769732643496152,7.383381117269887e-05
BLL,6.986840951294264e-05,6.477321614777809e-05,8.880633998114818e-05,7.614932733906939e-05,0.00013054574373412103,9.302272414355314e-05,0.0003773988408743735,0.00010309351978529241,0.00012609207070117998,9.653336647469253e-05,9.73929543615529e-05,8.605993016183178e-05,0.00013252084609206044,7.465444452902076e-05,0.00016565791292897828,8.481968380977813e-05,0.0001509169152696551,0.00011281145826693405,0.0001306631095772149,5.4434362210799014e-05,0.00018763738288931863,0.0001558916340234458,0.00013373471712159587,9.315719445356726e-05,0.00012769109404076252,0.0001265373889241172,7.237671599065828e-05,1.777491179735027e-05,0.00012127167994009652,8.073620692021833e-05
OKE,5.654494749153127e-05,7.617960453045384e-05,8.745986395977214e-05,9.472879405464465e-05,0.00011614314165381719,8.292619448678178e-05,0.00010309351978529241,0.00028943391881125214,0.00011631097532812878,8.277640186201172e-05,7.026858713025755e-05,7.539795857355412e-05,0.00010443582045120736,5.73567302072035e-05,0.00011332614080986391,0.0001038461643733462,0.00015759027373358597,9.29500343265788e-05,0.0001085557938971241,6.988228580916711e-05,0.00013383668744293967,9.170535005225247e-05,0.0001115649624402976,8.725662736393377e-05,9.135172938907484e-05,9.019935489384777e-05,0.00014442495953990008,-3.0098936770828314e-06,9.785229159958962e-05,7.643612300996171e-05
MU,3.914699752375524e-05,2.7776473952536874e-05,0.00016070175235374836,0.00012973563943444137,0.0003550944797022668,6.51971722012624e-05,0.00012609207070117998,0.00011631097532812878,0.0018832268328618517,0.00022039910759233926,0.00016964515464274577,8.32465363302927e-05,0.00017802615576961432,6.888831781440807e-05,0.0002561646802852635,7.818290716551712e-05,0.0006767129653541593,7.21211212461384e-05,0.00032177005038321147,0.0001063152121111992,0.000257770281479012,0.00022813932800286974,0.00021802102824800473,0.0003734279465471419,0.0003378874522731911,0.00023911291574354212,9.6251902315919e-05,-6.916535630601076e-05,0.00015111858072206532,0.000136069851924953
DJ,5.619578931293663e-05,5.533270467376879e-05,9.941829947920365e-05,0.00010187385269426857,0.0001309539781529218,8.058070547524742e-05,9.653336647469253e-05,8.277640186201172e-05,0.00022039910759233926,0.00031947190845404825,0.0001737309200984609,8.150584316890778e-05,0.00017073642280579645,8.611640252986315e-05,0.00013538894667638812,6.57767940927082e-05,0.00023632790018323984,9.415783114403297e-05,0.00018164247648542198,8.185681009434775e-05,0.00015948180638306164,0.00015779840091308258,0.00014216590963978876,0.00013534072958826138,0.00016206550353309996,0.00011864909117460615,8.850269489204137e-05,-2.147572354921207e-05,0.00013226060847321413,7.865007272163164e-05
