,VLO,EK,JNY,HD,ATI,TER,MDP,SPG,JNS,SWK,CINF,ECL,LIZ,GILD,AIV,LLL,AGN,OXY,XRX,RTN,GENZ,PHM,KEY,THC,KLAC,CSX,MHP,INTC,IP,PCL
VLO,1.0,0.3651129935719179,0.48235300624969374,0.5309331160086159,0.760069261382122,0.5819300263614451,0.4847862472508061,0.5716998139074193,0.5640743001459556,0.6279791609113861,0.5720696190845901,0.6777220221172156,0.4507827942494536,0.33517536804372117,0.5615911367669962,0.6651204753738276,0.5372061552590783,0.895637368939413,0.5767635023973361,0.5787534601348195,0.21015224481278344,0.5236100325117132,0.48868311794643143,0.19181986013613173,0.5469620128001763,0.6507862733637596,0.6022713656017572,0.5951485172895009,0.6172328232212385,0.5795763156387216
EK,0.3651129935719179,1.0,0.5522417318302926,0.6561538578859691,0.5194858646511833,0.6032569932752632,0.653261474360267,0.6524613257353846,0.6930010109179888,0.6645512216568662,0.6697361431876427,0.6270327832999211,0.5392968914645181,0.2459629236831747,0.6568889333012518,0.5542470283328971,0.563663025761383,0.358697822981524,0.6569869917166651,0.4301882347390266,0.1986868451151365,0.589163301447734,0.5874286233936769,0.23008833882291216,0.5978851406790456,0.6051253079464726,0.5836186530856454,0.6250056286026481,0.6101222916845245,0.6885660307141813
JNY,0.48235300624969374,0.5522417318302926,1.0,0.7908331470143758,0.6021801622348607,0.6767700313873424,0.7908458453974453,0.7636941524668754,0.6889325393823778,0.7771452673839778,0.6901976039250849,0.7468206739142147,0.8608827212081218,0.2578232551057784,0.750420611824002,0.6963581315613784,0.670655368488831,0.4616325108283255,0.7697832119047879,0.5145796050420024,0.19248479153386192,0.6597663464329077,0.5952338774752065,0.4004117953108738,0.625362093343149,0.666919828562828,0.7147905412839828,0.6497899742155739,0.7249149182734941,0.7624804834256276
HD,0.5309331160086159,0.6561538578859691,0.7908331470143758,1.0,0.6763562878062589,0.7653394898688014,0.8166070119605973,0.8843661430577548,0.8473602713500593,0.9051265308458742,0.8511188899967872,0.8314345488520345,0.7743619954880134,0.33272592459532924,0.8724404716674731,0.7182500913050008,0.7351590352978428,0.4925745297787858,0.8144113357385425,0.6045406633373164,0.30231236892947916,0.8936125177555232,0.7595135269776899,0.26443672329927864,0.7306608459030693,0.7849607325790897,0.8036378624109838,0.7879770112997494,0.7930377704518321,0.8935315381348199
ATI,0.760069261382122,0.5194858646511833,0.6021801622348607,0.6763562878062589,1.0,0.7222622416837615,0.6594638491691726,0.720106516833502,0.6946183213850009,0.773398944212463,0.6419453261932682,0.8036860012149413,0.587436621314516,0.4144609237898202,0.688714037135796,0.7707243313838068,0.6194381814629224,0.7827169144482533,0.731806529904193,0.6652117218178939,0.3139207501651228,0.6267364146797423,0.5588947102202269,0.19230433275824987,0.6904370691019376,0.7728321065450842,0.6993927092634454,0.7477695798720824,0.724878502293817,0.7348980817520673
TER,0.5819300263614451,0.6032569932752632,0.6767700313873424,0.7653394898688014,0.7222622416837615,1.0,0.7436658883293142,0.7757163714569497,0.7771731906840933,0.7826990720809006,0.6861226125972524,0.721487971719377,0.6964575745447783,0.29029883058402567,0.7722997838706371,0.7140357228331755,0.6084916747606912,0.5355012233564647,0.8278988310064924,0.5915140038994415,0.2701414710595037,0.7031573940927995,0.6357007731148974,0.301566299385083,0.9125343939501441,0.7589361620288221,0.714085905617402,0.8464413183767753,0.7475593349296596,0.783066051426396
MDP,0.4847862472508061,0.653261474360267,0.7908458453974453,0.8166070119605973,0.6594638491691726,0.7436658883293142,1.0,0.867504180090153,0.8159667969024327,0.8548254785277187,0.8227587449992518,0.7484560612926182,0.7499271197076096,0.20802654395473152,0.8696475271467997,0.6661928780830664,0.7127179977197893,0.4767177115167829,0.8370255412217924,0.5457810976110352,0.23126453224260649,0.6967978501586753,0.7458902690245802,0.3589737614579984,0.6808340621451799,0.718536172798174,0.8201052651912816,0.732104051046279,0.8042464773274147,0.8576025368385892
SPG,0.5716998139074193,0.6524613257353846,0.7636941524668754,0.8843661430577548,0.720106516833502,0.7757163714569497,0.867504180090153,1.0,0.8610154268040784,0.8888751837227917,0.8823556486588287,0.8471437081226668,0.7118692861845082,0.37128206436126565,0.9698380215926039,0.7357910469483744,0.7414747915836165,0.5632213490747057,0.8349130472621695,0.6186062408040035,0.388923577093355,0.7914783511979389,0.7988012120742435,0.3174885653078404,0.740735859080286,0.7849621764686381,0.8228836562292353,0.8232559842243786,0.8382348961393485,0.9733608330959559
JNS,0.5640743001459556,0.6930010109179888,0.6889325393823778,0.8473602713500593,0.6946183213850009,0.7771731906840933,0.8159667969024327,0.8610154268040784,1.0,0.8707768138934323,0.8879845251884391,0.8445427179343328,0.6897331159968934,0.3933349270517319,0.8471682318277671,0.7184825272215523,0.7699336843155183,0.567162668860577,0.8382180838601714,0.6411159674514041,0.33676002085900064,0.7436257830831818,0.7849130067663586,0.3508910981106647,0.7691493312495404,0.8055750229776081,0.820040093846035,0.8414497078135056,0.7975512997537528,0.8631751772600931
SWK,0.6279791609113861,0.6645512216568662,0.7771452673839778,0.9051265308458742,0.773398944212463,0.7826990720809006,0.8548254785277187,0.8888751837227917,0.8707768138934323,1.0,0.8562533464370329,0.8736437065349155,0.7577281003872693,0.3584629485676904,0.8756091721923563,0.7607459084987052,0.7570313696968992,0.6234749208598105,0.8646649453653894,0.605365695708202,0.28923774893852505,0.8305884382881491,0.775190116416045,0.2725515943378722,0.7251729351344969,0.8431601312566589,0.8472777892640193,0.7980683713237103,0.8487385085452184,0.8896847449318844
CINF,0.5720696190845901,0.6697361431876427,0.6901976039250849,0.8511188899967872,0.6419453261932682,0.6861226125972524,0.8227587449992518,0.8823556486588287,0.8879845251884391,0.8562533464370329,1.0,0.8110381136828662,0.629627679681222,0.34968603953726435,0.8780290848418999,0.6627179776404455,0.7373758528838665,0.5858795166518286,0.7865865962430929,0.6353185422352375,0.3744640375933483,0.7545858447100662,0.9135653910872793,0.2736045385517673,0.6533915547988394,0.7482380969649862,0.8269647461523556,0.7696957223870156,0.7963890345485998,0.8733731004783702
ECL,0.6777220221172156,0.6270327832999211,0.7468206739142147,0.8314345488520345,0.8036860012149413,0.721487971719377,0.7484560612926182,0.8471437081226668,0.8445427179343328,0.8736437065349155,0.8110381136828662,1.0,0.7208579669963527,0.3791300629551769,0.817952971191026,0.7308846938155391,0.7384942825303403,0.6835838619799942,0.7808988308605618,0.5913729588032114,0.27887494415736047,0.7712767217361929,0.691258864341023,0.2911145363455041,0.6847993879677977,0.7915223544913014,0.8027293948389295,0.7697985295540718,0.8068841681256543,0.8573620501071872
LIZ,0.4507827942494536,0.5392968914645181,0.8608827212081218,0.7743619954880134,0.587436621314516,0.6964575745447783,0.7499271197076096,0.7118692861845082,0.6897331159968934,0.7577281003872693,0.629627679681222,0.7208579669963527,1.0,0.20769239457245997,0.7081107772383276,0.6634411604109676,0.6204787758733493,0.42962036900626993,0.7596867340658838,0.5152305702651611,0.150141370532953,0.6357134397418627,0.5691768811800125,0.34395660447599574,0.6217399440596925,0.6711672649471445,0.7026020709972658,0.6497094551132638,0.6966377512135655,0.718841206032456
GILD,0.33517536804372117,0.2459629236831747,0.2578232551057784,0.33272592459532924,0.4144609237898202,0.29029883058402567,0.20802654395473152,0.37128206436126565,0.3933349270517319,0.3584629485676904,0.34968603953726435,0.3791300629551769,0.20769239457245997,1.0,0.35091521882862226,0.28882778520779867,0.4031886843209946,0.33678442112730356,0.27489100129498995,0.12062392957384695,0.4291216671408073,0.38275188562438106,0.31726131056219975,0.01117134900976429,0.31097263173480266,0.29097502195397507,0.3319305982503947,0.3903774178455155,0.23389116582909003,0.35932076467123863
AIV,0.5615911367669962,0.6568889333012518,0.750420611824002,0.8724404716674731,0.688714037135796,0.7722997838706371,0.8696475271467997,0.9698380215926039,0.8471682318277671,0.8756091721923563,0.8780290848418999,0.817952971191026,0.7081107772383276,0.35091521882862226,1.0,0.7422035823640416,0.7183605094769506,0.5548828937941195,0.8364686127219956,0.6200094015437905,0.3545289683468348,0.7662827938246657,0.7838261135765108,0.3108527263892201,0.7382880774932187,0.7765758200970728,0.820171982055475,0.8151171962714393,0.8455209967172864,0.9599301475820723
