,FITB,SRE,CTL,JWN,DIS,PMCS,PGR,SWK,GE,CMA,CL,HPQ,PH,COL,MDP,KMB,F,Q,AXP,MIL,DVN,MHS,HSY,RAI,AGN,CAG,BDK,PLD,IP,WMT
FITB,0.0028696717866570436,0.00030564764557820687,0.000325266171878504,0.0006415254120465958,0.0004203163970887959,0.0005781750830316212,0.0005871596806555657,0.0005154986866140501,0.0006235446850818986,0.0011794770108788531,0.00019410638905963817,0.0003545403581295246,0.0004462563008189517,0.0003468852863953286,0.0004734301655965709,0.00022167545932480525,0.000637699238722911,0.0003880942126622369,0.000895559147833358,0.0002481946440495705,0.00041150754920840654,0.00023623190845110587,0.00023318114389409556,0.0001862126899526269,0.0003305894690704146,0.0001846360775839378,0.0004943409110002078,0.0011424045731231187,0.000668548138358409,0.00021368171675831228
SRE,0.00030564764557820687,0.0002922075775915606,0.00014662420016337054,0.00018689995355429808,0.00017733384615753882,0.0002239910892867533,0.0001925149811088706,0.00018311631273484847,0.00017071731411457352,0.00020398820447157408,0.00010195654682596648,0.0001547712948119821,0.0001849118883855586,0.00016548263140767723,0.0001561707896988976,9.427121993694978e-05,0.00017828001500542454,0.00020281136049972513,0.00022947802147676508,0.00011171979984519267,0.00023008532302485997,0.00013317576209889454,0.00010117184297573174,9.085232800005225e-05,0.00014369461024204958,8.032932257959063e-05,0.00016805440876000856,0.00038450770050940214,0.0002274483487427108,9.242095325031205e-05
CTL,0.000325266171878504,0.00014662420016337054,0.00034915260709700286,0.0002073183579078575,0.00017013888034593403,0.0002063855577899882,0.00016131753624552215,0.00018375629209217627,0.00017407997129098555,0.00026584751503310925,9.366977621470537e-05,0.00013390372243461996,0.00017321237103072926,0.00015218693320310156,0.00017558832635055426,9.286735338999903e-05,0.00019292967885095404,0.00024990203825815894,0.00025341523880135624,0.00011802299855064227,0.0001720883470385199,0.00012585978993382262,9.45365995904027e-05,8.054358057002298e-05,0.0001407544234244659,8.363175431950227e-05,0.00016893014234369447,0.0003684195324608544,0.00020947482833463934,9.239093437347496e-05
JWN,0.0006415254120465958,0.00018689995355429808,0.0002073183579078575,0.0009779979420289936,0.0003055272027073883,0.0004418544246470305,0.00033276651909900685,0.00038222339015152963,0.00033713339555887525,0.0004954887725872956,0.0001311791959094173,0.0002534232202206718,0.00033650069906640724,0.00025759795480517354,0.000338681737858157,0.0001375086837573088,0.0004850491344012716,0.0003077627698165818,0.0005050264746333136,0.0001706025086920885,0.00024077972633930407,0.00016616241438542086,0.00016458424640437123,9.278762441908219e-05,0.00023295061058346833,0.00012145205316414056,0.0004086159840235761,0.0007341196831819637,0.00044597761882204327,0.00018095009478378857
DIS,0.0004203163970887959,0.00017733384615753882,0.00017013888034593403,0.0003055272027073883,0.00037999104303342317,0.00028811111905323864,0.0002311698941567568,0.0002490968355581875,0.00024558942301364803,0.0003179929356131986,0.00012359585795162023,0.0002091420509432958,0.00024845288154494,0.00020902939988577183,0.0002275219027673597,0.00012302491726301398,0.00028017018179282775,0.0002437006970978783,0.0003572154298052559,0.000137479638926996,0.0002600954779912964,0.00015298669805122512,0.00013331048541365102,0.00010549944003270963,0.00018115798489325515,9.381366957460075e-05,0.00024123640104242055,0.0005686753130732436,0.00031751135426504013,0.00011821920231712041
PMCS,0.0005781750830316212,0.0002239910892867533,0.0002063855577899882,0.0004418544246470305,0.00028811111905323864,0.0011607831645830528,0.0002860482940566238,0.00034515462109140115,0.0003133448794072436,0.000461202146230085,0.0001362266134058681,0.00032672843900691386,0.00032370576194948433,0.0002700727855748981,0.0002823420800493666,0.00012699889516393773,0.0003830445432379288,0.00030537396536224176,0.00047469063094403486,0.00020690318582661498,0.0002960424719462777,0.0001726585347989095,0.00015570956259071655,0.00010467737684216701,0.00023102058149804123,0.00011082972106415132,0.0003469809257824397,0.0007030566206751208,0.0004034656523200987,0.00014742669167838276
PGR,0.0005871596806555657,0.0001925149811088706,0.00016131753624552215,0.00033276651909900685,0.0002311698941567568,0.0002860482940566238,0.0004766039940779142,0.00025441119756213507,0.00024904310678803946,0.00039277119775627244,0.00011569892663501406,0.0001880059340649659,0.00023232323592211495,0.00019465556548264897,0.0002099633213765945,0.00011419567592056648,0.00028293422802519295,0.0002522803437892588,0.00036904572849227283,0.00013528371861181013,0.00022951551415326016,0.00015176151815264876,0.00012177426763069994,0.00010127837707189652,0.00017980375699731867,8.760620234447523e-05,0.000237366004882913,0.000636163269260444,0.0003317216445137803,0.00012555738364304094
SWK,0.0005154986866140501,0.00018311631273484847,0.00018375629209217627,0.00038222339015152963,0.0002490968355581875,0.00034515462109140115,0.00025441119756213507,0.000454780786460555,0.0002762963245052593,0.00037979180513352933,0.00012293021010957968,0.0001954853473409077,0.0002912815115902251,0.00021632361399514765,0.0002603300186662488,0.00012441665058725624,0.0003062874501539707,0.0002690524215910311,0.0003922950835698232,0.00015492375805037153,0.00025940461423894966,0.0001680753806610718,0.00012580579038944147,0.00010697995038273656,0.00020094311426932523,0.0001056484990052332,0.00034662848696388797,0.0005821332619965842,0.00035181457657068165,0.0001298149677344757
GE,0.0006235446850818986,0.00017071731411457352,0.00017407997129098555,0.00033713339555887525,0.00024558942301364803,0.0003133448794072436,0.00024904310678803946,0.0002762963245052593,0.0005157094795834184,0.0004530254631256826,9.956891116063696e-05,0.0001891949188288255,0.0002637137040259399,0.00022183438313283537,0.0002617730953466373,0.0001133148858246891,0.0003356304885117583,0.0002465494694623668,0.0004314454501968046,0.00013885575562645364,0.00023545356556582963,0.00014763743758776054,0.0001341098496133375,0.0001084741000309461,0.00020461314586132305,9.622813891897486e-05,0.0002785627479968507,0.0006351267297896224,0.0003659231859920233,0.0001160698711934038
CMA,0.0011794770108788531,0.00020398820447157408,0.00026584751503310925,0.0004954887725872956,0.0003179929356131986,0.000461202146230085,0.00039277119775627244,0.00037979180513352933,0.0004530254631256826,0.001144410755576844,0.00013990624538034796,0.00026488872671664814,0.0003353616130562639,0.0002496826027574037,0.00037542067526953355,0.00016236541564772168,0.0004398719377402886,0.0003523180862445104,0.0006687153891538484,0.0001715364043002615,0.00027781987331144465,0.00015868704414220185,0.00017414553334193017,0.00014030302453689922,0.00024628202631817264,0.00014284986510543682,0.0003925380044528638,0.0008797912221627849,0.0004749393447441618,0.00015579827422624318
