,TEG,LEG,AZO,FDO,JEC,PCG,MS,ETR,DOV,DE,MET,DTV,UNP,WIN,ETN,IGT,SLB,GIS,SNA,JDSU,SYY,CHK,ODP,HCN,ORCL,TGT,BK,MSFT,CI,KR
TEG,1.0,0.7454655466977499,0.35201887612106614,-0.0030573691657207968,0.7519174790631457,0.7647070557060658,0.7453240436104943,0.8485289412862574,0.7523176200249952,0.7269117410975553,0.7571836479641051,0.6091575966537702,0.745352314443772,0.5479147427489729,0.7476098997261494,0.5983351400910008,0.7356790983151374,0.5180363528871825,0.7524105451630811,0.6046865351105698,0.6168839593212564,0.560397245555899,0.5970334237365638,0.7797438683429398,0.6600785979709166,0.48744434632209865,0.7611659944232868,0.6259001229887484,0.6246804020074791,0.5149082574443815
LEG,0.7454655466977499,1.0,0.6221255969803349,0.15829352136293243,0.9013020290553408,0.4979928182100134,0.8326137058899439,0.6386156988803168,0.9111415075012567,0.8871318742038001,0.8887912295098247,0.7779377830900125,0.9073869211061174,0.620109654400309,0.9161264452190144,0.6789812747613924,0.8422485347807677,0.6275768090193359,0.9261444764980219,0.7624890778378627,0.7458866295361767,0.652449005356686,0.736834871871727,0.8002815502691362,0.8347160325384004,0.7069160020762462,0.8764623415160396,0.7582170631727421,0.770507874161901,0.6357705737981145
AZO,0.35201887612106614,0.6221255969803349,1.0,0.16175193410100144,0.5729964465381456,0.20292842208784317,0.534869337172598,0.26122258073603466,0.5920738939086038,0.5775854269880233,0.5779024653421957,0.48350592113746677,0.5904565066617421,0.38630258302204684,0.6202509028450033,0.43755185715497347,0.5238574816491155,0.3492131184311386,0.6551571478687174,0.6122261466749406,0.42482205612465307,0.3618236482941057,0.657740422219132,0.5202399158400027,0.5753999071121247,0.5670052828589679,0.5493312950703948,0.46065898042987724,0.44472947285158415,0.3772510174243073
FDO,-0.0030573691657207968,0.15829352136293243,0.16175193410100144,1.0,0.1302393109878308,-0.13946093292534553,0.14082186183364254,-0.04378978931944619,0.11361776682680572,0.12712852444141595,0.12888400165635963,0.08678759931516562,0.09651486143617038,0.06948288284370206,0.11837214777000915,0.17623818912057496,0.09551031648842723,-0.05352513614346005,0.15029661269325004,0.200194375979057,0.01526783967737833,0.023187776970222545,0.18306321228404598,0.11727386049926895,0.10662757240968042,0.21350264928444312,0.09325652014772659,0.05615891108761322,0.09855182931414462,0.10163030251953266
JEC,0.7519174790631457,0.9013020290553408,0.5729964465381456,0.1302393109878308,1.0,0.49947746495385686,0.8388410796696528,0.6289359867592832,0.9366078098162235,0.9080833408374527,0.8948124229140161,0.7738649068188176,0.9177056967750041,0.6192785782054715,0.9249595912752184,0.6867395213288016,0.8903857709504659,0.6316927695402786,0.9273631220589277,0.7579168025278051,0.7661613919252821,0.6853061098658066,0.7103813577392076,0.7895447164497584,0.8506581929938842,0.6713812728641548,0.8844464450423161,0.779428434458613,0.7699959202668439,0.5971311719603479
PCG,0.7647070557060658,0.4979928182100134,0.20292842208784317,-0.13946093292534553,0.49947746495385686,1.0,0.5754511181386399,0.7831637962542574,0.48399094443337276,0.46710981823725767,0.5395612568216982,0.35292733342645954,0.5065361388974411,0.35054347625867066,0.4989246305748204,0.40859270495252437,0.47392557232452953,0.3756253048092694,0.5001473203629873,0.4006305189275747,0.40436002169117863,0.29490318560054685,0.4508182198656934,0.5733297988810664,0.4181706685274761,0.3140634461534982,0.5451442863192486,0.4345375307830189,0.4033000240909119,0.33488318651589355
MS,0.7453240436104943,0.8326137058899439,0.534869337172598,0.14082186183364254,0.8388410796696528,0.5754511181386399,1.0,0.6781374254373664,0.8300340156518063,0.8295805348356439,0.930062013498355,0.7310173326225639,0.8471451260916765,0.5993002679980421,0.8493521631789681,0.6274964169705437,0.8292543508604009,0.6265921151187432,0.8603541656757187,0.6700839396875068,0.7384369967641957,0.653654208135811,0.7054580787858825,0.7824942249208391,0.7929406005930282,0.6573250118787909,0.9442159023376447,0.7321344294695233,0.7400866996269838,0.6603111730880155
ETR,0.8485289412862574,0.6386156988803168,0.26122258073603466,-0.04378978931944619,0.6289359867592832,0.7831637962542574,0.6781374254373664,1.0,0.6273033466162081,0.6207628736868636,0.6632140068042519,0.547383830992667,0.640185519357305,0.48745835026689616,0.6198410721204758,0.519258251377828,0.6342083681219465,0.45072127059630207,0.639322096433235,0.5054532866839041,0.5023727685121643,0.490726975542429,0.5718404331870167,0.69805362761098,0.5675146262701147,0.4000055935555425,0.6593194099429938,0.5478091521803332,0.5488629529904052,0.42138434575820266
DOV,0.7523176200249952,0.9111415075012567,0.5920738939086038,0.11361776682680572,0.9366078098162235,0.48399094443337276,0.8300340156518063,0.6273033466162081,1.0,0.9231844177479097,0.8963751551888667,0.7806766673828914,0.9386198343123091,0.6255289378396007,0.9576838611831435,0.6780704305662358,0.9199318883691369,0.6213089901767295,0.9491657161816139,0.7649728553280507,0.7590905996938943,0.727129574818342,0.7061652281866929,0.781838396500675,0.8479875193666779,0.6627807973512347,0.8794098801037135,0.7614255841468631,0.7715465294756085,0.6123058782738058
DE,0.7269117410975553,0.8871318742038001,0.5775854269880233,0.12712852444141595,0.9080833408374527,0.46710981823725767,0.8295805348356439,0.6207628736868636,0.9231844177479097,1.0,0.8761201840830596,0.7748079591300071,0.915684215752662,0.626613205706751,0.9226918417375403,0.6718652628285944,0.8919596113387078,0.5337344145201145,0.9196910030999891,0.7618139801601163,0.7357509920753109,0.6922471516093939,0.7243033931122572,0.7849853002704286,0.8403616903956502,0.6426728768654687,0.8616901874079124,0.7570910270632301,0.7536308471824014,0.5915929178615668
MET,0.7571836479641051,0.8887912295098247,0.5779024653421957,0.12888400165635963,0.8948124229140161,0.5395612568216982,0.930062013498355,0.6632140068042519,0.8963751551888667,0.8761201840830596,1.0,0.7712255115277823,0.9023386057327655,0.6410914682006885,0.9024405860684646,0.6619958575909637,0.8734350789365704,0.654159780971338,0.9132309338198172,0.7377706227210976,0.7962294049018489,0.6785519303334205,0.715298488291952,0.7899833593707188,0.8405952629092607,0.7009353304869126,0.9513341389808242,0.7805829269827206,0.8051124197237733,0.6736448637954782
DTV,0.6091575966537702,0.7779377830900125,0.48350592113746677,0.08678759931516562,0.7738649068188176,0.35292733342645954,0.7310173326225639,0.547383830992667,0.7806766673828914,0.7748079591300071,0.7712255115277823,1.0,0.7713676965216878,0.5314356710968889,0.7798415338774181,0.5868453882412646,0.7374424644004419,0.5449325208818014,0.7882837350769416,0.6401230436360427,0.6682855354303506,0.5941586023439891,0.711675025903407,0.6843105471168383,0.7649622002932057,0.6001052522246092,0.7693941812053084,0.65782348627361,0.7051513557439658,0.5636669358502928
UNP,0.745352314443772,0.9073869211061174,0.5904565066617421,0.09651486143617038,0.9177056967750041,0.5065361388974411,0.8471451260916765,0.640185519357305,0.9386198343123091,0.915684215752662,0.9023386057327655,0.7713676965216878,1.0,0.6171431169388384,0.9349176940642662,0.6745196820251261,0.899467287273656,0.5988624148482088,0.9472167129015289,0.7644380776036709,0.7657546292495447,0.6804793176411342,0.7299957926380518,0.7937259564450787,0.8399041352219058,0.6645435602914519,0.8882255130156537,0.7727209665463715,0.7760358413278653,0.6117248066247262
WIN,0.5479147427489729,0.620109654400309,0.38630258302204684,0.06948288284370206,0.6192785782054715,0.35054347625867066,0.5993002679980421,0.48745835026689616,0.6255289378396007,0.626613205706751,0.6410914682006885,0.5314356710968889,0.6171431169388384,1.0,0.600681746787084,0.5076964356010035,0.6191309786699601,0.3819491129660252,0.6315718110601478,0.5943326692967335,0.493858138926236,0.486039902898888,0.5756168242235163,0.5684414313839269,0.5912484787640564,0.46314288974790235,0.607680265305462,0.532487455175429,0.5178623072181087,0.4002325086839916
ETN,0.7476098997261494,0.9161264452190144,0.6202509028450033,0.11837214777000915,0.9249595912752184,0.4989246305748204,0.8493521631789681,0.6198410721204758,0.9576838611831435,0.9226918417375403,0.9024405860684646,0.7798415338774181,0.9349176940642662,0.600681746787084,1.0,0.6941008127722161,0.9011416939809885,0.6297919791235079,0.9484116553252792,0.7595868500868181,0.7636332200370217,0.6919801075404977,0.7039347909561877,0.7889206410469976,0.8476413747008914,0.6624090630170456,0.8871048196858856,0.7834465824892848,0.7939021727788538,0.6349101238310204
IGT,0.5983351400910008,0.6789812747613924,0.43755185715497347,0.17623818912057496,0.6867395213288016,0.40859270495252437,0.6274964169705437,0.519258251377828,0.6780704305662358,0.6718652628285944,0.6619958575909637,0.5868453882412646,0.6745196820251261,0.5076964356010035,0.6941008127722161,1.0,0.6321944731968325,0.47587688237829867,0.7046613857869161,0.5784202101037851,0.6000908188520517,0.4716238207287827,0.571248743384679,0.6257210733390962,0.6460517755461533,0.5443779918670616,0.665127658813783,0.6408187085486698,0.6881106250943009,0.5355897406345977
SLB,0.7356790983151374,0.8422485347807677,0.5238574816491155,0.09551031648842723,0.8903857709504659,0.47392557232452953,0.8292543508604009,0.6342083681219465,0.9199318883691369,0.8919596113387078,0.8734350789365704,0.7374424644004419,0.899467287273656,0.6191309786699601,0.9011416939809885,0.6321944731968325,1.0,0.5731015799005329,0.8970428219602644,0.7136322536393261,0.7217864075890229,0.7865482821806431,0.678809517586398,0.7582936241810537,0.8063387804702793,0.582649643706887,0.8528682463401467,0.7272545742873583,0.7464724071520327,0.6105165887756705
GIS,0.5180363528871825,0.6275768090193359,0.3492131184311386,-0.05352513614346005,0.6316927695402786,0.3756253048092694,0.6265921151187432,0.45072127059630207,0.6213089901767295,0.5337344145201145,0.654159780971338,0.5449325208818014,0.5988624148482088,0.3819491129660252,0.6297919791235079,0.47587688237829867,0.5731015799005329,1.0,0.6283765988628371,0.5686761947475653,0.6085181530630666,0.4009990291291814,0.5616718694478463,0.5352626066186584,0.558861503281812,0.4217536203161879,0.6473695707105157,0.4829323809226712,0.540420084233803,0.5060780974358947
SNA,0.7524105451630811,0.9261444764980219,0.6551571478687174,0.15029661269325004,0.9273631220589277,0.5001473203629873,0.8603541656757187,0.639322096433235,0.9491657161816139,0.9196910030999891,0.9132309338198172,0.7882837350769416,0.9472167129015289,0.6315718110601478,0.9484116553252792,0.7046613857869161,0.8970428219602644,0.6283765988628371,1.0,0.7771717744207421,0.782911409417237,0.6700039656057304,0.7766191047724847,0.8141785957008495,0.8595310379059111,0.704786530874543,0.9041703028629927,0.8004039686347438,0.7772312673659929,0.647593681113743
JDSU,0.6046865351105698,0.7624890778378627,0.6122261466749406,0.200194375979057,0.7579168025278051,0.4006305189275747,0.6700839396875068,0.5054532866839041,0.7649728553280507,0.7618139801601163,0.7377706227210976,0.6401230436360427,0.7644380776036709,0.5943326692967335,0.7595868500868181,0.5784202101037851,0.7136322536393261,0.5686761947475653,0.7771717744207421,1.0,0.651163022632159,0.5384159042892172,0.6107234457397926,0.6646818453572666,0.7396172210646286,0.6020679133165904,0.7033143591503205,0.703118434216868,0.632828207331217,0.5722192617945934
SYY,0.6168839593212564,0.7458866295361767,0.42482205612465307,0.01526783967737833,0.7661613919252821,0.40436002169117863,0.7384369967641957,0.5023727685121643,0.7590905996938943,0.7357509920753109,0.7962294049018489,0.6682855354303506,0.7657546292495447,0.493858138926236,0.7636332200370217,0.6000908188520517,0.7217864075890229,0.6085181530630666,0.782911409417237,0.651163022632159,1.0,0.4763772022844187,0.6512782733531506,0.6534867711276525,0.7090846633885878,0.5632206051131646,0.764682941730828,0.6330694183925496,0.6669373531015387,0.6050198765357175
CHK,0.560397245555899,0.652449005356686,0.3618236482941057,0.023187776970222545,0.6853061098658066,0.29490318560054685,0.653654208135811,0.490726975542429,0.727129574818342,0.6922471516093939,0.6785519303334205,0.5941586023439891,0.6804793176411342,0.486039902898888,0.6919801075404977,0.4716238207287827,0.7865482821806431,0.4009990291291814,0.6700039656057304,0.5384159042892172,0.4763772022844187,1.0,0.5505165598548267,0.5855494441160866,0.6058104892435328,0.3919044563537373,0.6787369747047565,0.5826150495361205,0.5589517630889711,0.4586277399534092
ODP,0.5970334237365638,0.736834871871727,0.657740422219132,0.18306321228404598,0.7103813577392076,0.4508182198656934,0.7054580787858825,0.5718404331870167,0.7061652281866929,0.7243033931122572,0.715298488291952,0.711675025903407,0.7299957926380518,0.5756168242235163,0.7039347909561877,0.571248743384679,0.678809517586398,0.5616718694478463,0.7766191047724847,0.6107234457397926,0.6512782733531506,0.5505165598548267,1.0,0.7256962768346322,0.6917870345457229,0.7045042793358114,0.7155840632268095,0.6024016898765026,0.6016882911601407,0.6115686828146322
HCN,0.7797438683429398,0.8002815502691362,0.5202399158400027,0.11727386049926895,0.7895447164497584,0.5733297988810664,0.7824942249208391,0.69805362761098,0.781838396500675,0.7849853002704286,0.7899833593707188,0.6843105471168383,0.7937259564450787,0.5684414313839269,0.7889206410469976,0.6257210733390962,0.7582936241810537,0.5352626066186584,0.8141785957008495,0.6646818453572666,0.6534867711276525,0.5855494441160866,0.7256962768346322,1.0,0.7109456748133027,0.6090815025937144,0.7776356746045496,0.6611436970679466,0.6659486163918994,0.5531465892770495
ORCL,0.6600785979709166,0.8347160325384004,0.5753999071121247,0.10662757240968042,0.8506581929938842,0.4181706685274761,0.7929406005930282,0.5675146262701147,0.8479875193666779,0.8403616903956502,0.8405952629092607,0.7649622002932057,0.8399041352219058,0.5912484787640564,0.8476413747008914,0.6460517755461533,0.8063387804702793,0.558861503281812,0.8595310379059111,0.7396172210646286,0.7090846633885878,0.6058104892435328,0.6917870345457229,0.7109456748133027,1.0,0.6319126198954631,0.8275800139222369,0.800453727773097,0.7326897717141586,0.5532392244725769
TGT,0.48744434632209865,0.7069160020762462,0.5670052828589679,0.21350264928444312,0.6713812728641548,0.3140634461534982,0.6573250118787909,0.4000055935555425,0.6627807973512347,0.6426728768654687,0.7009353304869126,0.6001052522246092,0.6645435602914519,0.46314288974790235,0.6624090630170456,0.5443779918670616,0.582649643706887,0.4217536203161879,0.704786530874543,0.6020679133165904,0.5632206051131646,0.3919044563537373,0.7045042793358114,0.6090815025937144,0.6319126198954631,1.0,0.6705144713339992,0.5671947236207072,0.5675983283168788,0.49533968895196995
BK,0.7611659944232868,0.8764623415160396,0.5493312950703948,0.09325652014772659,0.8844464450423161,0.5451442863192486,0.9442159023376447,0.6593194099429938,0.8794098801037135,0.8616901874079124,0.9513341389808242,0.7693941812053084,0.8882255130156537,0.607680265305462,0.8871048196858856,0.665127658813783,0.8528682463401467,0.6473695707105157,0.9041703028629927,0.7033143591503205,0.764682941730828,0.6787369747047565,0.7155840632268095,0.7776356746045496,0.8275800139222369,0.6705144713339992,1.0,0.7744291742573257,0.7797434672101202,0.6690864126040729
MSFT,0.6259001229887484,0.7582170631727421,0.46065898042987724,0.05615891108761322,0.779428434458613,0.4345375307830189,0.7321344294695233,0.5478091521803332,0.7614255841468631,0.7570910270632301,0.7805829269827206,0.65782348627361,0.7727209665463715,0.532487455175429,0.7834465824892848,0.6408187085486698,0.7272545742873583,0.4829323809226712,0.8004039686347438,0.703118434216868,0.6330694183925496,0.5826150495361205,0.6024016898765026,0.6611436970679466,0.800453727773097,0.5671947236207072,0.7744291742573257,1.0,0.6776268381149584,0.5173939132882938
CI,0.6246804020074791,0.770507874161901,0.44472947285158415,0.09855182931414462,0.7699959202668439,0.4033000240909119,0.7400866996269838,0.5488629529904052,0.7715465294756085,0.7536308471824014,0.8051124197237733,0.7051513557439658,0.7760358413278653,0.5178623072181087,0.7939021727788538,0.6881106250943009,0.7464724071520327,0.540420084233803,0.7772312673659929,0.632828207331217,0.6669373531015387,0.5589517630889711,0.6016882911601407,0.6659486163918994,0.7326897717141586,0.5675983283168788,0.7797434672101202,0.6776268381149584,1.0,0.5630759453841433
KR,0.5149082574443815,0.6357705737981145,0.3772510174243073,0.10163030251953266,0.5971311719603479,0.33488318651589355,0.6603111730880155,0.42138434575820266,0.6123058782738058,0.5915929178615668,0.6736448637954782,0.5636669358502928,0.6117248066247262,0.4002325086839916,0.6349101238310204,0.5355897406345977,0.6105165887756705,0.5060780974358947,0.647593681113743,0.5722192617945934,0.6050198765357175,0.4586277399534092,0.6115686828146322,0.5531465892770495,0.5532392244725769,0.49533968895196995,0.6690864126040729,0.5173939132882938,0.5630759453841433,1.0
