,ETFC,HAS,HOG,LM,UHS,CSCO,ALL,TXN,DFS,NEE,PSA,PH,PVH,AMT,MNST,A,ZTS,MSI,AXP,OMC,URBN,MDLZ,MCD,GILD,EQR,URI,TMO,RRC,CELG,AKAM
ETFC,1.0,0.32844263774738186,0.5537820232466535,0.7914926894123111,0.3345013683766291,0.6514510930310876,0.6264222169564898,0.6623993814076702,0.8580295822406084,-0.752867824089591,-0.5854705293436748,0.7669733183480829,0.5447740860826786,-0.4032908477039069,0.03896722411010115,0.6596488517724077,0.37329674065452173,0.3846679076587435,0.7931118102707285,0.5269498755822595,0.31467824434008634,0.09839611901590849,0.0016223617408538777,0.3989599083470951,-0.4661281876400487,0.7369817014790138,0.5782888190508538,0.37338859210703484,0.3140740710660793,0.3760742710418985
HAS,0.32844263774738186,1.0,0.22699998862419613,0.31448836116826134,0.08336506171168916,0.25503467203224117,0.10308469340474131,0.32613406046155824,0.33806745302460534,-0.4701644730344629,-0.33479133072209544,0.3081091619209738,0.29566839653792465,-0.32915338127303934,0.09287765303251874,0.23465848140115403,0.1280166536657762,0.24241251800624697,0.29046604144733806,0.22297348113703871,0.18260859700383808,-0.047135838795150445,0.03320909307350566,0.17123234359882772,-0.3296155626961202,0.3331602820355401,0.18106093484638072,0.10497063042688357,0.03382893360412684,0.18971379741399932
HOG,0.5537820232466535,0.22699998862419613,1.0,0.6062108772474868,0.20862634311126116,0.48842377264030135,0.3646128029448413,0.46200344795126336,0.6014421561075478,-0.6562140357939515,-0.5325459965573216,0.68725801389989,0.5807749301599612,-0.5190137825705208,-0.03321879208840827,0.46497506324935844,0.20791934522735392,0.18887122847033602,0.5297523183945787,0.5296158289400152,0.4002756253529592,-0.05105139113383946,-0.20729456536742366,0.2695822193345449,-0.47248811047540584,0.6062854888088811,0.34307111340808566,0.413469172319047,0.1654708886626447,0.2640334251887215
LM,0.7914926894123111,0.31448836116826134,0.6062108772474868,1.0,0.257482629943644,0.6239930729386945,0.5994054518630696,0.6719484706105928,0.8449875439922182,-0.7013593334453837,-0.552817149754613,0.7716576361894777,0.5325332131812016,-0.3444183965214161,-0.05045760162085955,0.6026628170867847,0.33099166421832116,0.3170723758834475,0.7638158510049801,0.5672716658052299,0.31255618258276135,0.10980475866247513,-0.042486180942993806,0.4173257680861638,-0.42863989101719907,0.7590708688092581,0.5085811584839193,0.44289702971465705,0.3190979886303559,0.41950372160907773
UHS,0.3345013683766291,0.08336506171168916,0.20862634311126116,0.257482629943644,1.0,0.15725304188365993,0.10851817586267734,0.16125769808276283,0.2796289206736443,-0.3948069604249046,-0.3674962873265525,0.29149612369447675,0.24466067639801667,-0.24660362564785998,-0.05312252312109383,0.3783944390112512,0.3976523339050362,0.030768258201823613,0.29094493282109457,0.19444775292787936,0.1291063647995259,0.012222155126551249,-0.2501123663385793,0.21914032185225385,-0.2879968272293615,0.29337112096740126,0.42169053529344885,0.2730578270560598,0.28766061589365566,0.22060691577963712
CSCO,0.6514510930310876,0.25503467203224117,0.48842377264030135,0.6239930729386945,0.15725304188365993,1.0,0.49533276790086445,0.747220547464017,0.6533884324840912,-0.551589857355244,-0.5197288489940247,0.7111997204863226,0.4577845934097163,-0.3012272020223418,0.07053401626794244,0.6510340760122535,0.39415706399090583,0.48029366373931826,0.5775726571750742,0.4738534005148189,0.31043415634963584,0.1672043370276231,0.009947597172171172,0.4336035107114324,-0.3852112631769827,0.6159183912518892,0.5796307470848451,0.30928629093341053,0.25812793720936406,0.4979198638797571
ALL,0.6264222169564898,0.10308469340474131,0.3646128029448413,0.5994054518630696,0.10851817586267734,0.49533276790086445,1.0,0.5369036204059313,0.6124389011837584,-0.5052258140841507,-0.45160412749060935,0.5982607091782369,0.24477524914518817,-0.2753062718161743,0.0370167042786921,0.46132178229964865,0.27791656515700175,0.2493688158369061,0.5387386822550536,0.3661667628053485,0.12333005336028251,0.13790036434572295,0.0166564620134079,0.22523918528279152,-0.3610005634839832,0.501267780359381,0.4038859012513553,0.21251431381651018,0.13712166080373292,0.2746512254212664
TXN,0.6623993814076702,0.32613406046155824,0.46200344795126336,0.6719484706105928,0.16125769808276283,0.747220547464017,0.5369036204059313,1.0,0.6946599066253745,-0.5536232799498145,-0.4721685370767015,0.7325217943222988,0.41096070018465847,-0.23179892422914344,0.06374892242308701,0.664343711012087,0.4194048832751481,0.4672397722010103,0.595033239795875,0.4580123401114142,0.21647766952822223,0.22623263775976807,0.09879405364956043,0.4338505425237874,-0.3638421335893881,0.6783443835336512,0.5570377281967448,0.2865267625195021,0.2750895909373943,0.47116646607796386
DFS,0.8580295822406084,0.33806745302460534,0.6014421561075478,0.8449875439922182,0.2796289206736443,0.6533884324840912,0.6124389011837584,0.6946599066253745,1.0,-0.7481049127887756,-0.6185811084797715,0.7986200922028328,0.533941718147716,-0.4577406985845917,0.0021175051124988926,0.6183830206188732,0.3259207895738185,0.3422364097207729,0.9007258396413934,0.5716877096002143,0.3494668042179657,0.0492579285416322,-0.053223117611693224,0.40797075013683953,-0.5075046223677059,0.8090388599231363,0.5328217762126881,0.37482237592429096,0.2781751803655035,0.39720569694646796
NEE,-0.752867824089591,-0.4701644730344629,-0.6562140357939515,-0.7013593334453837,-0.3948069604249046,-0.551589857355244,-0.5052258140841507,-0.5536232799498145,-0.7481049127887756,1.0,0.624090925791837,-0.7542575830486684,-0.6665350437314844,0.593028450960379,0.058226732743399866,-0.5499770857961671,-0.35231933069235843,-0.31172469178336926,-0.6977435764077352,-0.6068190113385041,-0.5041928986638411,0.11972963423243946,0.08606493991920885,-0.4592016189012089,0.5999092904302422,-0.6990928311780482,-0.4455185840570389,-0.47580292891355186,-0.2981677583558651,-0.34044866524277484
